,ID,target,condition,align,reuse,freq1
722,2405,templo,AM,1,1,0
723,2406,templo,AM,1,1,0
724,2407,templo,AM,0,1,0
725,2408,templo,AM,0,1,0
726,2409,templo,AM,1,1,0
727,2410,templo,AM,0,1,0
728,2411,templo,AM,1,1,0
729,2412,templo,AM,1,0,0
730,2413,templo,AM,1,1,0
731,2414,templo,AM,0,0,0
732,2419,templo,AM,0,1,0
733,2420,templo,AM,0,1,0
734,2421,templo,AM,0,1,0
735,2424,templo,AM,0,1,0
736,2426,templo,AM,0,1,0
737,2427,templo,AM,1,0,0
738,2428,templo,AM,0,1,0
739,2429,templo,AM,0,1,0
740,2430,templo,AM,1,1,0
741,2431,templo,AM,1,0,0
742,2432,templo,AM,0,1,0
743,2433,templo,AM,0,1,0
744,2434,templo,AM,0,1,0
745,2435,templo,AM,0,1,0
746,2436,templo,AM,0,1,0
747,2438,templo,AM,0,1,0
748,2440,templo,AM,1,0,0
749,2441,templo,AM,1,1,0
750,2442,templo,AM,1,1,0
751,2443,templo,AM,0,0,0
752,2444,templo,AM,1,1,0
753,2445,templo,AM,1,0,0
754,2447,templo,AM,0,1,0
755,2448,templo,AM,0,1,0
756,149,arma,SM,0,1,0
757,149,banera,SM,0,1,19
758,149,barriga,SM,0,1,0
759,149,boligrafo,SM,0,1,4
760,149,bombilla,SM,0,1,1
761,149,cigarrillo,SM,0,1,0
762,149,emparedado,SM,0,1,0
763,149,gafas,SM,0,1,0
764,149,liebre,SM,1,1,0
